,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415794,0.00593482881693852,0.028490044304758655,5,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.06665672819428513
2,2,-15.5709352034737,0.004178662057906735,0.02431138224685192,7,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.048709690146885185
3,3,-15.575216182049328,0.004280978575627259,0.02003040367122466,10,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04870772623373133
4,4,-15.57809302705534,0.002876845006012374,0.017153558665212287,9,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.04062055698526414
5,5,-15.582317535773262,0.004224508717921793,0.012929049947290494,11,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.09469963766991799
6,6,-15.584867337223729,0.0025498014504670152,0.010379248496823479,16,384.0,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04242949075155981
7,7,-15.587653234867265,0.002785897643535762,0.007593350853287717,18,464.0,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.042430558128083606
8,8,-15.58938921091834,0.0017359760510746725,0.0058573748022130445,16,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.028942202893711806
9,9,-15.591896270201472,0.002507059283132662,0.0033503155190803824,21,560.0,648,192,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.0612725257131371
10,10,-15.594261365358967,0.0023650951574953893,0.000985220361584993,18,608.0,720,224,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.06145776877858953
11,11,-15.594303340082291,4.197472332378993e-05,0.0009432456382612031,13,656.0,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0005852028208267237
12,12,-15.594339012528144,3.567244585234164e-05,0.0009075731924088615,15,704.0,864,224,120,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.002200820343526326
13,13,-15.594359494160924,2.0481632780899872e-05,0.0008870915596279616,14,752.0,936,224,120,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0025455809869903176
14,14,-15.594379775284818,2.0281123893184372e-05,0.0008668104357347772,17,800.0,1008,224,120,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0031966161256153903
15,15,-15.594423864251926,4.408896710828003e-05,0.0008227214686264972,23,848.0,1080,224,120,"d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.002882081336577658
