,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415838,0.005934828816982929,0.02849004430470714,55,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07800223258886899
2,2,-15.570935203473711,0.004178662057872984,0.024311382246834157,104,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04804780838368572
3,3,-15.575216182049324,0.004280978575613048,0.02003040367122111,172,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04836887507794131
4,4,-15.578093027055372,0.002876845006047901,0.017153558665173207,244,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.040311203939985996
5,5,-15.582317535773257,0.00422450871788449,0.012929049947288718,397,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.05786579488302897
6,6,-15.584867337223727,0.002549801450470568,0.01037924849681815,382,384.0,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.042103789103337286
7,7,-15.5876532348673,0.0027858976435730654,0.007593350853245084,580,464.0,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.042169460244787
8,8,-15.589389210918652,0.0017359760513517841,0.0058573748018933,728,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.02784090758764355
9,9,-15.591896270198902,0.002507059280249635,0.0033503155216436653,753,560.0,648,192,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.054266398193983933
10,10,-15.594261364992763,0.0023650947938609335,0.0009852207277827318,734,608.0,720,224,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.05464889511241497
11,11,-15.59430334008233,4.197508956771401e-05,0.0009432456382150178,750,656.0,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0018416574601677112
12,12,-15.594339012480312,3.5672397981301174e-05,0.0009075732402337167,714,704.0,864,224,120,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0026045296674414827
13,13,-15.59435949115224,2.0478671928003678e-05,0.000887094568305713,693,752.0,936,224,120,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001522549154049045
14,14,-15.594379755831387,2.0264679147175002e-05,0.000866829889158538,700,800.0,1008,224,120,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0023615077726451853
15,15,-15.594423255145102,4.349931371550042e-05,0.0008233305754430376,676,880.0,1080,256,120,"d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0031691722720863704
16,16,-15.594467788878813,4.4533733710494516e-05,0.000778796841732543,678,928.0,1152,256,120,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003165286408717478
