,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.575510439455838,0.014688726856952883,0.019736146264714094,42,2453.0,6217,718,763,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0285770015977927
2,2,-15.579921028091755,0.004410588635916923,0.01532555762879717,10,2466.0,6250,718,763,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.04851290796457003
3,3,-15.584417937052553,0.004496908960797796,0.010828648667999374,8,2479.0,6283,718,763,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.04843539531344296
4,4,-15.58737370658458,0.0029557695320274746,0.0078728791359719,8,2492.0,6316,718,763,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.04038888046808708
5,5,-15.589873078489386,0.0024993719048058693,0.00537350723116603,14,2505.0,6349,718,763,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04216106596670512
6,6,-15.592451513321901,0.002578434832514631,0.0027950723986513992,10,2518.0,6382,718,763,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.04208681347599538
7,7,-15.594085591013474,0.0016340776915733102,0.001160994707078089,8,2531.0,6415,718,763,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.028186469689899223
8,8,-15.59412938993628,4.379892280503839e-05,0.0011171957842730507,4,2544.0,6448,729,773,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.001779380078895516
9,9,-15.594194766321682,6.537638540216051e-05,0.0010518193988708902,5,2557.0,6481,729,784,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0031487914910438464
10,10,-15.594247283577484,5.2517255802797536e-05,0.0009993021430680926,6,2570.0,6514,729,795,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0031223509718662098
11,11,-15.59429556929012,4.82857126353764e-05,0.0009510164304327162,6,2583.0,6547,740,795,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.00310537961384314
12,12,-15.594339066542112,4.349725199226384e-05,0.0009075191784404524,4,2596.0,6580,751,795,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0029585303425876852
13,13,-15.594446256240456,0.00010718969834400127,0.0008003294800964511,15,2609.0,6613,751,795,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.0062345642378785395
14,14,-15.594513914771522,6.76585310657174e-05,0.0007326709490307337,8,2622.0,6646,751,795,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.005683237290918755
15,15,-15.594523584501632,9.669730109962416e-06,0.0007230012189207713,4,2635.0,6679,762,795,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.0008833229823620159
16,16,-15.59453329520805,9.71070641853089e-06,0.0007132905125022404,4,2648.0,6712,762,806,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.0006478833885336722
