,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415858,0.005934828816979376,0.028490044304644968,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.07615900887707741
2,2,-15.570935203473734,0.0041786620578765366,0.02431138224676843,8,26.0,66,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.4117073317611896
3,3,-15.57521618204935,0.004280978575616601,0.02003040367115183,10,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.04538840188987622
4,4,-15.578093027055393,0.002876845006042572,0.01715355866510926,10,52.0,132,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.04616174939872906
5,5,-15.582317535773281,0.0042245087178880425,0.012929049947221216,11,65.0,165,28,32,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.07902862269467843
6,6,-15.584867337223756,0.0025498014504741207,0.010379248496747095,17,78.0,198,33,40,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.04686375726504364
7,7,-15.58765323486733,0.0027858976435748417,0.007593350853172254,20,91.0,231,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04713709333001525
8,8,-15.589389210918686,0.0017359760513553368,0.005857374801816917,52,104.0,264,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.033677487966123874
9,9,-15.591896270201492,0.0025070592828058125,0.0033503155190111045,21,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.06296904468500035
10,10,-15.59426136535958,0.0023650951580886925,0.000985220360922412,20,130.0,330,66,66,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.06378838564229264
11,11,-15.594303340082416,4.19747228352918e-05,0.0009432456380871201,19,143.0,363,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.005081931852349744
12,12,-15.594339012528215,3.5672445799050934e-05,0.0009075731922880692,66,156.0,396,66,66,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.004098277019012428
