,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415815,0.005934828816936744,0.0284900443046876,5,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.06639958351355306
2,2,-15.570935203473724,0.004178662057908511,0.02431138224677909,7,26.0,66,17,21,"eff_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04968282537581048
3,3,-15.57521618204935,0.004280978575627259,0.02003040367115183,10,47.0,101,21,21,"eff_d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04870162013323125
4,4,-15.578093027055365,0.0028768450060141504,0.01715355866513768,9,60.0,134,32,32,"eff_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.0406225598264828
5,5,-15.582317535773289,0.00422450871792357,0.01292904994721411,11,73.0,167,32,32,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.09199693071905482
6,6,-15.584867337223749,0.00254980145045991,0.010379248496754201,16,90.0,202,38,42,"eff_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04241711894105571
7,7,-15.58765323486729,0.002785897643541091,0.00759335085321311,18,107.0,237,42,44,"eff_d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.04241667531525828
8,8,-15.58938921091835,0.0017359760510604616,0.005857374802152648,16,120.0,270,48,44,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.028924915872254306
9,9,-15.591896270201506,0.0025070592831557548,0.0033503155189968936,21,133.0,303,59,55,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.06093153222429286
10,10,-15.59426136535899,0.002365095157484731,0.0009852203615121624,18,146.0,336,70,66,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.0611009848844947
