,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.56675654141582,0.00593482881693852,0.02849004430463964,5,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.07999810924634601
2,2,-15.570935203473725,0.004178662057904958,0.02431138224673468,7,26.0,66,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.5942445680599391
3,3,-15.575216182049356,0.004280978575630812,0.02003040367110387,10,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.0442788844450298
4,4,-15.57809302705537,0.0028768450060141504,0.01715355866508972,9,52.0,132,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.05067810405115291
5,5,-15.582317535773285,0.004224508717914688,0.01292904994717503,11,65.0,165,28,32,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.07051370062703667
6,6,-15.584867337223754,0.0025498014504687916,0.01037924849670624,16,78.0,198,33,40,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.05257053814538501
7,7,-15.587653234867286,0.002785897643532209,0.00759335085317403,18,91.0,231,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.052582065674412544
8,8,-15.589389210918377,0.0017359760510906597,0.0058573748020833705,16,104.0,264,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.03374778217087894
9,9,-15.591896270201502,0.0025070592831255567,0.0033503155189578138,21,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.06972099215489592
10,10,-15.594261365358996,0.002365095157493613,0.0009852203614642008,18,130.0,330,66,66,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.06989758427718484
