,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
35,35,-75.02303428696408,1.3512571101159665e-05,0.0002569411156514434,37,435.0,1103,89,102,"d_q_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.003766502868276866
36,36,-75.0230354325691,1.1456050259539552e-06,0.00025579551062548944,21,448.0,1136,89,108,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",-0.0010697427798464223
37,37,-75.02303655127717,1.1187080701802188e-06,0.0002546768025553092,26,461.0,1169,89,108,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.00022826192632593304
38,38,-75.02304633901888,9.787741703348729e-06,0.0002448890608519605,37,474.0,1202,89,114,"d_q_exc_[3, 6]_[12, 13]","[[3, 6], [12, 13]]",-0.008366050629414215
39,39,-75.02304725669947,9.176805946253808e-07,0.0002439713802573351,21,487.0,1235,91,120,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.0001016918834659387
40,40,-75.02304817113134,9.144318653397931e-07,0.00024305694839199532,30,500.0,1268,93,120,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",0.0006357219705365927
41,41,-75.02305720854199,9.037410649170852e-06,0.00023401953774282447,47,503.0,1275,93,120,s_q_exc_3_11,"[[3], [11]]",0.0011636021044345783
42,42,-75.02306234926638,5.140724397278973e-06,0.0002288788133455455,39,506.0,1282,96,120,s_q_exc_2_10,"[[2], [10]]",-0.001634722987126928
43,43,-75.02306712400153,4.774735145929299e-06,0.0002241040781996162,45,509.0,1289,96,123,s_q_exc_4_12,"[[4], [12]]",-0.04767013869715281
44,44,-75.02307152885214,4.404850614037059e-06,0.00021969922758557914,44,512.0,1296,96,123,s_q_exc_5_13,"[[5], [13]]",-0.006043849794859272
45,45,-75.02307159458881,6.573667121756444e-08,0.00021963349091436157,82,525.0,1329,101,123,"d_q_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",0.000180970720717996
46,46,-75.0230716557193,6.11304926678713e-08,0.0002195723604216937,21,538.0,1362,106,126,"d_q_exc_[0, 7]_[10, 11]","[[0, 7], [10, 11]]",0.0009476474764485438
47,47,-75.02307168024672,2.4527409436814196e-08,0.0002195478330122569,13,541.0,1369,109,129,s_q_exc_0_10,"[[0], [10]]",0.0006415758710306858
48,48,-75.02307170000347,1.9756754454647307e-08,0.00021952807625780224,16,544.0,1376,109,129,s_q_exc_1_11,"[[1], [11]]",2.365359047595616e-05
49,49,-75.02308582589541,1.4125891937055712e-05,0.00020540218432074653,50,557.0,1409,115,139,"d_q_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.09617399547586519
50,50,-75.02309487222453,9.046329125794728e-06,0.0001963558551949518,61,570.0,1442,115,139,"d_q_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.04872127420631696
51,51,-75.02310648318704,1.1610962502572875e-05,0.00018474489269237893,68,583.0,1475,115,139,"d_q_exc_[6, 11]_[8, 9]","[[6, 11], [8, 9]]",-0.1802903134643858
52,52,-75.02311154737671,5.064189679160336e-06,0.0001796807030132186,63,596.0,1508,115,141,"d_q_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.014377083454724398
53,53,-75.02320275559177,9.120821505348431e-05,8.847248795973428e-05,71,609.0,1541,125,151,"d_q_exc_[2, 12]_[4, 10]","[[2, 12], [4, 10]]",0.2758000978505471
54,54,-75.02323416090438,3.140531261180968e-05,5.7067175347924604e-05,87,622.0,1574,125,157,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.04213984631015773
55,55,-75.02324952827527,1.536737089224971e-05,4.1699804455674894e-05,132,635.0,1607,125,163,"d_q_exc_[4, 7]_[11, 12]","[[4, 7], [11, 12]]",0.064399725155061
56,56,-75.02325481234037,5.2840650965890745e-06,3.641573935908582e-05,81,648.0,1640,125,169,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",-0.003125734557026915
57,57,-75.0232606983049,5.885964526441967e-06,3.052977483264385e-05,71,661.0,1673,125,169,"d_q_exc_[7, 10]_[8, 9]","[[7, 10], [8, 9]]",0.024031027346188342
58,58,-75.023264365785,3.667480100943976e-06,2.6862294731699876e-05,123,664.0,1680,128,172,s_q_exc_4_12,"[[4], [12]]",0.04816234063512299
59,59,-75.02326667073817,2.3049531705510162e-06,2.455734156114886e-05,118,677.0,1713,132,172,"d_q_exc_[3, 4]_[6, 13]","[[3, 4], [6, 13]]",0.010919618039096935
60,60,-75.02327251320791,5.842469747108225e-06,1.8714871814040634e-05,127,690.0,1746,142,181,"d_q_exc_[4, 13]_[8, 9]","[[4, 13], [8, 9]]",0.17094551242232245
61,61,-75.02327642663279,3.913424876600402e-06,1.4801446937440232e-05,134,703.0,1779,143,181,"d_q_exc_[3, 6]_[12, 13]","[[3, 6], [12, 13]]",0.012618955390620568
62,62,-75.02328081260175,4.385968964015774e-06,1.0415477973424458e-05,149,716.0,1812,147,188,"d_q_exc_[2, 12]_[4, 6]","[[2, 12], [4, 6]]",0.03286590248480824
63,63,-75.02328259110377,1.7785020105520744e-06,8.636975962872384e-06,105,729.0,1845,153,197,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.010765716364142445
64,64,-75.02328339941427,8.083105029754734e-07,7.82866545989691e-06,119,742.0,1878,154,197,"d_q_exc_[3, 5]_[7, 13]","[[3, 5], [7, 13]]",-0.059900073738337244
65,65,-75.0232834505109,5.1096634479108616e-08,7.777568825417802e-06,58,755.0,1911,154,200,"d_q_exc_[1, 6]_[12, 13]","[[1, 6], [12, 13]]",-0.0010539073424297141
66,66,-75.02328488622813,1.4357172233303572e-06,6.341851602087445e-06,161,768.0,1944,154,206,"d_q_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",0.0049076185427887635
67,67,-75.02328599206028,1.1058321547352534e-06,5.2360194473521915e-06,131,781.0,1977,164,208,"d_q_exc_[4, 11]_[5, 6]","[[4, 11], [5, 6]]",-0.012460460715216583
68,68,-75.02328666462678,6.725665002704773e-07,4.563452947081714e-06,91,794.0,2010,165,208,"d_q_exc_[3, 7]_[5, 13]","[[3, 7], [5, 13]]",0.09131817665778388
69,69,-75.02328668578454,2.1157759988454927e-08,4.542295187093259e-06,67,807.0,2043,165,208,"d_q_exc_[1, 5]_[7, 13]","[[1, 5], [7, 13]]",-0.001923433863976591
70,70,-75.02328679480975,1.0902520841682417e-07,4.433269978676435e-06,64,820.0,2076,171,212,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.0017728525375471313
71,71,-75.02328681187038,1.7060628465515038e-08,4.41620935021092e-06,54,833.0,2109,171,218,"d_q_exc_[0, 4]_[6, 12]","[[0, 4], [6, 12]]",0.0005103475846130371
72,72,-75.02328683549081,2.362043005632586e-08,4.392588920154594e-06,55,846.0,2142,171,224,"d_q_exc_[0, 7]_[5, 12]","[[0, 7], [5, 12]]",-0.0006713274335213495
73,73,-75.0232868528281,1.733728538511059e-08,4.375251634769484e-06,46,859.0,2175,177,230,"d_q_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",-0.00022695989948080873
74,74,-75.02328688459494,3.176684515437955e-08,4.343484789615104e-06,40,872.0,2208,177,236,"d_q_exc_[1, 6]_[5, 12]","[[1, 6], [5, 12]]",0.0007003062800221124
