,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
35,35,-75.02301706166205,1.1509463035963563e-06,0.0002741664176824088,19,2574.0,2458,688,432,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-2.5978910297865147e-05
36,36,-75.02301818200422,1.1203421763639199e-06,0.00027304607550604487,82,2686.0,2530,704,432,"d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.0003670210605946706
37,37,-75.023028600704,1.041869977314036e-05,0.0002626273757329045,35,2798.0,2602,736,456,"d_f_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.01602285113151519
38,38,-75.02302953921965,9.385156545249629e-07,0.00026168886007837955,25,2942.0,2674,768,480,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0008235914249545782
39,39,-75.02303046481079,9.255911379568715e-07,0.0002607632689404227,29,3022.0,2746,784,480,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.00034525451019028837
40,40,-75.02303057799591,1.1318512349589582e-07,0.0002606500838169268,21,3134.0,2818,784,480,"d_f_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",0.00011412365712034192
41,41,-75.02303063794655,5.995063645514165e-08,0.00026059013318047164,19,3278.0,2890,784,480,"d_f_exc_[0, 7]_[10, 11]","[[0, 7], [10, 11]]",3.85112336902411e-05
42,42,-75.0230451524264,1.451447985800769e-05,0.00024607565332246395,53,3422.0,2962,816,504,"d_f_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",-0.020461706512983454
43,43,-75.02305320400068,8.051574269529738e-06,0.0002380240790529342,60,3534.0,3034,816,504,"d_f_exc_[2, 3]_[6, 11]","[[2, 3], [6, 11]]",0.19229478312720716
44,44,-75.0230786830361,2.5479035429043506e-05,0.0002125450436238907,62,3646.0,3106,836,504,"d_f_exc_[5, 12]_[10, 11]","[[5, 12], [10, 11]]",-0.08981358850814435
45,45,-75.02309527351179,1.6590475681255157e-05,0.00019595456794263555,73,3790.0,3178,868,528,"d_f_exc_[4, 13]_[10, 11]","[[4, 13], [10, 11]]",0.10899491121298584
46,46,-75.02311572938588,2.045587409327254e-05,0.000175498693849363,73,3838.0,3250,896,552,"d_f_exc_[8, 9]_[12, 13]","[[8, 9], [12, 13]]",-0.025875991963779398
47,47,-75.02312483529826,9.105912383233772e-06,0.00016639278146612924,78,3982.0,3322,912,552,"d_f_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.005476926678501983
48,48,-75.02313314570125,8.310402989764043e-06,0.0001580823784763652,78,4126.0,3394,916,552,"d_f_exc_[2, 7]_[6, 11]","[[2, 7], [6, 11]]",-0.16476394365060468
49,49,-75.02313318022932,3.452807106896216e-08,0.00015804785040529623,38,4146.0,3412,916,552,s_f_exc_2_10,"[[2], [10]]",-0.00011828146543757764
50,50,-75.02316434705025,3.116682093207146e-05,0.00012688102947322477,91,4290.0,3484,932,552,"d_f_exc_[2, 5]_[4, 11]","[[2, 5], [4, 11]]",-0.548101663875693
51,51,-75.02318296439549,1.8617345233451488e-05,0.00010826368423977328,106,4370.0,3556,964,552,"d_f_exc_[4, 6]_[10, 12]","[[4, 6], [10, 12]]",0.019465789223296254
52,52,-75.0232158805615,3.291616600620273e-05,7.534751823357055e-05,106,4450.0,3628,964,576,"d_f_exc_[3, 6]_[12, 13]","[[3, 6], [12, 13]]",-0.12694055503314147
53,53,-75.02324245023746,2.6569675966925388e-05,4.8777842266645166e-05,113,4530.0,3700,996,576,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.04084565924181682
54,54,-75.02324328169804,8.314605821624355e-07,4.794638168448273e-05,81,4642.0,3772,1028,576,"d_f_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",0.0004970660711492359
55,55,-75.02324358518737,3.0348932966717257e-07,4.764289235481556e-05,54,4754.0,3844,1060,600,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.00028407840091102736
56,56,-75.02324394392174,3.587343684330335e-07,4.7284157986382525e-05,81,4866.0,3916,1060,624,"d_f_exc_[1, 6]_[12, 13]","[[1, 6], [12, 13]]",0.00042032640617589603
57,57,-75.02324877963665,4.835714904061206e-06,4.244844308232132e-05,106,4946.0,3988,1060,624,"d_f_exc_[2, 3]_[7, 10]","[[2, 3], [7, 10]]",-0.026161895656562704
58,58,-75.02325646234615,7.682709508571861e-06,3.476573357374946e-05,119,5026.0,4060,1088,648,"d_f_exc_[7, 10]_[12, 13]","[[7, 10], [12, 13]]",0.00389200584378922
