,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415861,0.005934828816982929,0.028490044304691153,55,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.0746789462835557
2,2,-15.570935203473734,0.004178662057872984,0.02431138224681817,104,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.048551458980592155
3,3,-15.575216182049347,0.004280978575613048,0.02003040367120512,172,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04851606407503911
4,4,-15.578093026949583,0.0028768449002356533,0.017153558770969468,169,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.040983838757115476
5,5,-15.582317318153116,0.00422429120353307,0.012929267567436398,166,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.058963011662547915
6,6,-15.584866905269218,0.002549587116101648,0.01037968045133475,160,384.0,432,128,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.042139848804236546
7,7,-15.587631516417096,0.002764611147878071,0.0076150693034566785,154,464.0,504,160,80,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04212495566258914
8,8,-15.589127425058663,0.001495908641567567,0.0061191606618891115,150,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.028202916265548272
9,9,-15.589657420618407,0.0005299955597433126,0.005589165102145799,156,560.0,648,192,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.053418445361155226
10,10,-15.590308007964547,0.0006505873461399858,0.004938577756005813,151,608.0,720,224,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.04916668078532643
11,11,-15.591069997772655,0.0007619898081081544,0.004176587947897659,141,656.0,792,256,112,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-2.1051361798340797e-05
12,12,-15.592401698482815,0.0013317007101605327,0.002844887237737126,146,704.0,864,288,128,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.00019735231368211135
13,13,-15.59296221798317,0.000560519500353962,0.002284367737383164,139,752.0,936,320,144,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.00016355005729289
14,14,-15.593952103846176,0.0009898858630066343,0.0012944818743765296,137,800.0,1008,352,160,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.004031912972074638
15,15,-15.594260809609837,0.00030870576366126556,0.000985776110715264,147,848.0,1080,352,160,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0012024026877918816
16,16,-15.5943120620718,5.125246196335809e-05,0.000934523648751906,144,896.0,1152,352,160,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0016072248931842757
17,17,-15.5943365564476,2.449437579876701e-05,0.000910029272953139,148,944.0,1224,352,160,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0011939748092350275
18,18,-15.594362580926173,2.60244785739161e-05,0.0008840047943792229,147,992.0,1296,352,160,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0012753977657520895
19,19,-15.594398664053951,3.608312777814149e-05,0.0008479216666010814,143,1072.0,1368,384,176,"d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.002822506398141897
20,20,-15.594431246738079,3.2582684127646644e-05,0.0008153389824734347,146,1120.0,1440,384,176,"d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0019284012076529753
21,21,-15.594455308254988,2.4061516908702174e-05,0.0007912774655647326,146,1168.0,1512,384,192,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0015332634055042578
22,22,-15.59449951828271,4.4210027722257905e-05,0.0007470674378424746,141,1248.0,1584,416,192,"d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.002727726111341734
23,23,-15.594513650561357,1.4132278646883378e-05,0.0007329351591955913,158,1296.0,1656,416,192,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0003070839412054917
24,24,-15.594526548635237,1.2898073880052152e-05,0.0007200370853155391,151,1376.0,1728,448,208,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.0009703763253903356
25,25,-15.594539530533906,1.2981898668940062e-05,0.0007070551866465991,150,1456.0,1800,464,208,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.0008505346822690624
26,26,-15.59454922608981,9.695555904798425e-06,0.0006973596307418006,151,1504.0,1872,464,224,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0005760703755790374
27,27,-15.594559416486845,1.0190397034648413e-05,0.0006871692337071522,154,1584.0,1944,496,240,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.0007216426619181993
28,28,-15.59456688831368,7.471826835470097e-06,0.0006796974068716821,154,1632.0,2016,496,256,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0004602715454615474
29,29,-15.594575579249302,8.690935620947471e-06,0.0006710064712507346,153,1712.0,2088,512,256,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.0004896708980638006
30,30,-15.594585520754222,9.941504920618627e-06,0.000661064966330116,155,1792.0,2160,544,256,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.0007860438661873178
31,31,-15.59459542191977,9.901165547887558e-06,0.0006511638007822285,154,1824.0,2170,548,256,s_f_exc_3_11,"[[3], [11]]",-0.0005613851805296318
32,32,-15.594605359912125,9.937992354380754e-06,0.0006412258084278477,156,1856.0,2180,556,260,s_f_exc_2_10,"[[2], [10]]",-0.0005661931748844303
33,33,-15.59461487789788,9.517985755991276e-06,0.0006317078226718564,158,1888.0,2190,560,260,s_f_exc_3_11,"[[3], [11]]",-0.0005653442178759065
34,34,-15.59461902543885,4.147540970222963e-06,0.0006275602817016335,162,1968.0,2262,576,264,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.00022198365306499166
35,35,-15.594626154123315,7.128684464063895e-06,0.0006204315972375696,158,2000.0,2272,584,264,s_f_exc_2_10,"[[2], [10]]",-0.00048716695328591074
36,36,-15.594630062714959,3.908591644119497e-06,0.0006165230055934501,163,2080.0,2344,600,280,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.00020302596717520528
