,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415854,0.005934828816982929,0.028490044304605888,55,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07437107110171923
2,2,-15.570935203473727,0.004178662057872984,0.024311382246732904,104,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04873755479811312
3,3,-15.57521618204934,0.004280978575613048,0.020030403671119856,172,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04873771584186845
4,4,-15.57809302705539,0.0028768450060496775,0.01715355866507018,244,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.041182350898741935
5,5,-15.582317535773273,0.004224508717882713,0.012929049947187465,397,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.059251700335368085
6,6,-15.58486733722375,0.0025498014504776734,0.010379248496709792,390,384.0,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04204662229909773
7,7,-15.587653234867306,0.002785897643555302,0.00759335085315449,599,464.0,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.04204659293537222
8,8,-15.589389210918664,0.0017359760513588895,0.005857374801795601,863,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.028216344967502707
9,9,-15.591896270201465,0.0025070592828004834,0.0033503155189951173,938,560.0,648,192,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.05355189845244069
10,10,-15.594261365359557,0.0023650951580922452,0.000985220360902872,1075,608.0,720,224,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.05367783609540881
11,11,-15.594303340082403,4.197472284594994e-05,0.0009432456380569221,790,656.0,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0019459785504411526
12,12,-15.594339012528078,3.5672445674705955e-05,0.0009075731923822161,1362,704.0,864,224,120,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0017698031982078693
13,13,-15.594359494160958,2.0481632880375855e-05,0.0008870915595018403,1374,752.0,936,224,120,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.001437807536642507
