,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.563099278129393,0.0022775655305142806,0.03214730759113493,18,2453.0,6217,718,763,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.04748582512238927
2,2,-15.568598043435033,0.005498765305640418,0.026648542285494514,5,2466.0,6250,718,763,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.051615250571604154
3,3,-15.576683169643994,0.008085126208960958,0.018563416076533557,6,2479.0,6283,718,763,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.05121727274453937
4,4,-15.579732870887979,0.003049701243984515,0.015513714832549041,5,2492.0,6316,718,763,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.033635614320238164
5,5,-15.582145260562543,0.0024123896745642526,0.013101325157984789,5,2505.0,6349,718,763,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.02106068373844069
6,6,-15.583468755379453,0.0013234948169102978,0.011777830341074491,4,2518.0,6382,718,763,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.011154458833241114
7,7,-15.584675340743045,0.0012065853635920831,0.010571244977482408,4,2531.0,6415,718,763,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.0046636376595592
