,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415863,0.005934828816982929,0.028490044304781748,98,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07374184268283643
2,2,-15.57093520347374,0.0041786620578765366,0.02431138224690521,177,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04912746913054173
3,3,-15.575216182049354,0.004280978575614824,0.020030403671290387,285,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04912749290337134
4,4,-15.578093027055402,0.002876845006047901,0.017153558665242485,381,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.04129225031440651
5,5,-15.58231753577329,0.0042245087178880425,0.012929049947354443,575,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.06408129156053964
6,6,-15.58486733722376,0.0025498014504687916,0.010379248496885651,566,384.0,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04268152409328779
7,7,-15.587653234867336,0.002785897643576618,0.007593350853309033,796,464.0,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.04268155129543633
8,8,-15.589389210918652,0.001735976051316257,0.005857374801992776,1073,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.02894189267941042
